fiscalDateEnding,totalRevenue,netIncome,ticker
31/03/2024,14760000000,1456000000,EPD
31/12/2023,14622000000,1568000000,EPD
30/09/2023,11998000000,1318000000,EPD
30/06/2023,10651000000,1253000000,EPD
31/03/2023,12444000000,1390000000,EPD
31/12/2022,13650000000,1420000000,EPD
30/09/2022,15468000000,1360000000,EPD
30/06/2022,16060000000,1411000000,EPD
31/03/2022,13008000000,1296000000,EPD
31/12/2021,11370000000,1028000000,EPD
30/09/2021,10832000000,1153000000,EPD
30/06/2021,9450000000,1112000000,EPD
31/03/2021,9155000000,1341000000,EPD
31/12/2020,7044500000,337600000,EPD
30/09/2020,6922000000,1052600000,EPD
30/06/2020,5751000000,1034700000,EPD
31/03/2020,7482500000,1350100000,EPD
31/12/2019,8005300000,1096900000,EPD
30/09/2019,7964100000,1019200000,EPD
30/06/2024,5479700000,232100000,WCC
31/03/2024,5350000000,115800000,WCC
31/12/2023,5473400000,141900000,WCC
30/09/2023,5644400000,233400000,WCC
30/06/2023,5745500000,193100000,WCC
31/03/2023,5521900000,197100000,WCC
31/12/2022,5558516000,218871000,WCC
30/09/2022,5445900000,239600000,WCC
30/06/2022,5483500000,220700000,WCC
31/03/2022,4932200000,181200000,WCC
31/12/2021,4860847000,167413000,WCC
30/09/2021,4728325000,119596000,WCC
30/06/2021,4595790000,119195000,WCC
31/03/2021,4041477000,59178000,WCC
31/12/2020,4128841000,19982000,WCC
30/09/2020,4141801000,80678000,WCC
30/06/2020,2086706000,-34506000,WCC
31/03/2020,1968647000,34407000,WCC
31/12/2019,2099452000,53098000,WCC
30/09/2019,2148110000,64495000,WCC
30/06/2024,9880000000,301000000,MOH
31/03/2024,9931000000,301000000,MOH
31/12/2023,9048000000,216000000,MOH
30/09/2023,8548000000,245000000,MOH
30/06/2023,8327000000,309000000,MOH
31/03/2023,8149000000,321000000,MOH
31/12/2022,8223000000,56000000,MOH
30/09/2022,7927000000,230000000,MOH
30/06/2022,8054000000,248000000,MOH
31/03/2022,7770000000,258000000,MOH
31/12/2021,7409000000,103000000,MOH
30/09/2021,7040000000,143000000,MOH
30/06/2021,6800000000,185000000,MOH
31/03/2021,6522000000,228000000,MOH
31/12/2020,5235000000,34000000,MOH
30/09/2020,5021000000,185000000,MOH
30/06/2020,4618000000,276000000,MOH
31/03/2020,4549000000,178000000,MOH
31/12/2019,4274000000,168000000,MOH
30/09/2019,4243000000,175000000,MOH
30/06/2024,9965700000,1353600000,DHI
31/03/2024,9107200000,1172100000,DHI
31/12/2023,7726000000,947400000,DHI
30/09/2023,10504000000,1509700000,DHI
30/06/2023,9725600000,1335100000,DHI
31/03/2023,7972900000,942200000,DHI
31/12/2022,7257800000,958700000,DHI
30/09/2022,9639400000,1631800000,DHI
30/06/2022,8788100000,1647800000,DHI
31/03/2022,7999000000,1436300000,DHI
31/12/2021,7053400000,1141600000,DHI
30/09/2021,8109300000,1339000000,DHI
30/06/2021,7284600000,1115500000,DHI
31/03/2021,6446900000,929500000,DHI
31/12/2020,5933400000,791800000,DHI
30/09/2020,6400400000,829000000,DHI
30/06/2020,5390000000,630700000,DHI
31/03/2020,4500000000,482700000,DHI
31/12/2019,4020700000,431300000,DHI
30/09/2019,5038900000,505300000,DHI
31/03/2023,94956936,23948900,SYT
30/06/2022,72111845,23921500,SYT
31/12/2021,90924358,23110501,SYT
30/06/2024,8077172000,645217000,NUE
31/03/2024,8137083000,844841000,NUE
31/12/2023,7704531000,785399000,NUE
30/09/2023,8775734000,1141506000,NUE
30/06/2023,9523256000,1461354000,NUE
31/03/2023,8709980000,1136542000,NUE
31/12/2022,8723956000,1255733000,NUE
30/09/2022,10500755000,1694748000,NUE
30/06/2022,11794474000,2561233000,NUE
31/03/2022,10493282000,2095623000,NUE
31/12/2021,10364412000,2250418000,NUE
30/09/2021,10313223000,2127743000,NUE
30/06/2021,8789164000,1506868000,NUE
31/03/2021,7017140000,942432000,NUE
31/12/2020,5260055000,398843000,NUE
30/09/2020,4927960000,193415000,NUE
30/06/2020,4327306000,108881000,NUE
31/03/2020,5624337000,20331000,NUE
31/12/2019,5131746000,107823000,NUE
30/09/2019,5464502000,275031000,NUE
30/06/2024,12938000000,1927000000,AZN
31/03/2024,12938000000,1927000000,AZN
