fiscalDateEnding,totalRevenue,netIncome,ticker
2022-12-31,3166000000.0,-270000000,SPOT
2022-09-30,3036000000.0,-166000000,SPOT
2022-06-30,2864000000.0,-125000000,SPOT
2022-03-31,2661000000.0,131000000,SPOT
2021-12-31,2689000000.0,-39000000,SPOT
2021-09-30,2501000000.0,2000000,SPOT
2021-06-30,2331000000.0,-20000000,SPOT
2021-03-31,2147000000.0,23000000,SPOT
2020-12-31,2168000000.0,-125000000,SPOT
2020-09-30,1975000000.0,-101000000,SPOT
2020-06-30,1975000000.0,-101000000,SPOT
2020-03-31,1889000000.0,-356000000,SPOT
2019-12-31,1848000000.0,1000000,SPOT
2024-09-30,6313000000.0,1009000000,ETN
2024-06-30,6292000000.0,993000000,ETN
2024-03-31,5933000000.0,821000000,ETN
2023-12-31,5971000000.0,945000000,ETN
2023-09-30,5861000000.0,891000000,ETN
2023-06-30,5830000000.0,744000000,ETN
2023-03-31,5444000000.0,638000000,ETN
2022-12-31,5370000000.0,721000000,ETN
2022-09-30,5224000000.0,607000000,ETN
2022-06-30,5140000000.0,601000000,ETN
2022-03-31,4828000000.0,532000000,ETN
2021-12-31,4778000000.0,551000000,ETN
2021-09-30,5472000000.0,629000000,ETN
2021-06-30,5271000000.0,506000000,ETN
2021-03-31,4593000000.0,458000000,ETN
2020-12-31,4782000000.0,475000000,ETN
2020-09-30,4534000000.0,446000000,ETN
2020-06-30,3865000000.0,51000000,ETN
2020-03-31,4827000000.0,438000000,ETN
2019-12-31,5249000000.0,452000000,ETN
2024-09-30,6873000000.0,2255000000,MCD
2024-06-30,6490000000.0,2022000000,MCD
2024-03-31,6169000000.0,1929000000,MCD
2023-12-31,6406200000.0,2039000000,MCD
2023-09-30,6692000000.0,2317000000,MCD
2023-06-30,6498000000.0,2310000000,MCD
2023-03-31,5898000000.0,1802000000,MCD
2022-12-31,5926500000.0,1903400000,MCD
2022-09-30,5872100000.0,1981600000,MCD
2022-06-30,5718400000.0,1188000000,MCD
2022-03-31,5665600000.0,1104400000,MCD
2021-12-31,6009100000.0,1638800000,MCD
2021-09-30,6201300000.0,2149900000,MCD
2021-06-30,5887900000.0,2219300000,MCD
2021-03-31,5124600000.0,1537200000,MCD
2020-12-31,5313800000.0,1377200000,MCD
2020-09-30,5418100000.0,1762600000,MCD
2020-06-30,3761500000.0,483800000,MCD
2020-03-31,4714400000.0,1106900000,MCD
2019-12-31,5349000000.0,1572200000,MCD
2024-09-30,3720700000.0,1340600000,REGN
2024-06-30,3547100000.0,1432300000,REGN
2024-03-31,3128900000.0,722000000,REGN
2023-12-31,3416000000.0,1159600000,REGN
2023-09-30,3344900000.0,1007800000,REGN
2023-06-30,3139200000.0,968400000,REGN
2023-03-31,3144100000.0,817800000,REGN
2022-12-31,3397000000.0,1197100000,REGN
2022-09-30,2920900000.0,1315700000,REGN
2022-06-30,2844100000.0,852100000,REGN
2022-03-31,2951500000.0,973500000,REGN
2021-12-31,4937600000.0,2229000000,REGN
2021-09-30,3438600000.0,1632200000,REGN
2021-06-30,5124100000.0,3098900000,REGN
2021-03-31,2514100000.0,1115200000,REGN
2020-12-31,2422900000.0,1149200000,REGN
2020-09-30,2267700000.0,842100000,REGN
2020-06-30,1942300000.0,897300000,REGN
2020-03-31,1822100000.0,624600000,REGN
2019-12-31,2169500000.0,792000000,REGN
2024-09-30,31524000000.0,2990000000,GS
2024-06-30,30929000000.0,3043000000,GS
2024-03-31,32160000000.0,4132000000,GS
2023-12-31,28463000000.0,2008000000,GS
2023-09-30,28527000000.0,2058000000,GS
2023-06-30,26047000000.0,1216000000,GS
2023-03-31,25381000000.0,3234000000,GS
2022-12-31,20930000000.0,1326000000,GS
2022-09-30,18482000000.0,3069000000,GS
2022-06-30,14981000000.0,2927000000,GS
2022-03-31,14318000000.0,3939000000,GS
2021-12-31,13854000000.0,3935000000,GS
2021-09-30,15161000000.0,5378000000,GS
2021-06-30,16698000000.0,5486000000,GS
2021-03-31,19276000000.0,6836000000,GS
2020-12-31,13304000000.0,4506000000,GS
2020-09-30,12629000000.0,3367000000,GS
2020-06-30,15385000000.0,373000000,GS
2020-03-31,12180000000.0,1213000000,GS
2019-12-31,13812000000.0,1917000000,GS
2024-09-30,6700000000.0,1852000000,NEE
2024-06-30,6000000000.0,1622000000,NEE
2024-03-31,5426000000.0,2268000000,NEE
2023-12-31,5579000000.0,1210000000,NEE
2023-09-30,7200000000.0,1219000000,NEE
2023-06-30,6300000000.0,2795000000,NEE
2023-03-31,5702000000.0,2086000000,NEE
2022-12-31,5716000000.0,1522000000,NEE
2022-09-30,6400000000.0,1696000000,NEE
2022-06-30,5900000000.0,1380000000,NEE
2022-03-31,5020000000.0,-451000000,NEE
2021-12-31,4872000000.0,1204000000,NEE
2021-09-30,5400000000.0,447000000,NEE
2021-06-30,4700000000.0,256000000,NEE
2021-03-31,4051000000.0,1666000000,NEE
2020-12-31,4081000000.0,-5000000,NEE
2020-09-30,4900000000.0,1229000000,NEE
2020-06-30,4100000000.0,1275000000,NEE
2020-03-31,3939000000.0,421000000,NEE
2019-12-31,4414000000.0,975000000,NEE
